id,category,question,knowledgeBaseId,expectedDocumentIds,returnedDocumentIds,rank,recallAt1,recallAt3,recallAt5,reciprocalRankAt5,latencyMs,status,error
qa-0001,远程办公制度,临时远程办公单次最长可以申请多少个工作日？,default,8fd8e510803f174be57e4f2f6ecc0e03,8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03,1,1,1,1,1.0,2753.34,success,
qa-0002,远程办公制度,连续远程办公超过 20 个工作日需要哪些审批或备案？,default,8fd8e510803f174be57e4f2f6ecc0e03,8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_3 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0 || 8fd8e510803f174be57e4f2f6ecc0e03,1,1,1,1,1.0,2535.36,success,
qa-0003,远程办公制度,远程办公期间员工每天应在什么时间保持在线？,default,8fd8e510803f174be57e4f2f6ecc0e03,8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_3,1,1,1,1,1.0,2579.73,success,
qa-0004,远程办公制度,发现设备遗失或疑似资料外泄后，员工多久内必须报告？,default,8fd8e510803f174be57e4f2f6ecc0e03,8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_3,1,1,1,1,1.0,2579.04,success,
qa-0005,远程办公制度,常态化远程办公的网络补贴每月最高是多少？,default,8fd8e510803f174be57e4f2f6ecc0e03,8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0 || 8fd8e510803f174be57e4f2f6ecc0e03 || db875b0d54cdda3d466916a919cfee05,1,1,1,1,1.0,2566.74,success,
qa-0006,项目交付方案,北辰项目一共分为几个交付阶段？,default,c0bc9a9041a726e0d025dc2320d1d44e,c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_0 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || db875b0d54cdda3d466916a919cfee05|db875b0d54cdda3d466916a919cfee05_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_3,1,1,1,1,1.0,2537.84,success,
qa-0007,项目交付方案,北辰项目的日销售数据同步延迟验收标准是多少？,default,c0bc9a9041a726e0d025dc2320d1d44e,c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_0 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_3 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1,1,1,1,1,1.0,3092.06,success,
qa-0008,项目交付方案,什么情况会被判定为北辰项目的高风险？,default,c0bc9a9041a726e0d025dc2320d1d44e,c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_0 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_0,1,1,1,1,1.0,2557.54,success,
qa-0009,项目交付方案,技术负责人需要在多长时间内完成需求变更的影响评估？,default,c0bc9a9041a726e0d025dc2320d1d44e,c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_3,1,1,1,1,1.0,2563.5,success,
qa-0010,项目交付方案,北辰项目发布后，哪些情况需要立即停止发布并回滚？,default,c0bc9a9041a726e0d025dc2320d1d44e,c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_3 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_1 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_2 || 8fd8e510803f174be57e4f2f6ecc0e03|8fd8e510803f174be57e4f2f6ecc0e03_seg_2 || c0bc9a9041a726e0d025dc2320d1d44e|c0bc9a9041a726e0d025dc2320d1d44e_seg_1,1,1,1,1,1.0,2794.91,success,
